Time,Main Contract,Sub-main Contract
412,3819.43,3651.38
413,3825.16,3675.98
414,3800.3,3743.3
415,3809.42,3664.66
416,3806.75,3662.09
417,3826.16,3669.29
418,3820.8,3660.33
419,3825.0,3660.53
420,3862.49,3727.3
421,3879.87,3782.87
422,3878.71,3704.17
423,3912.45,3806.81
424,3896.41,3775.62
425,3912.39,3814.58
426,3927.65,3805.89
427,3960.64,3774.49
428,3957.47,3862.49
429,3936.1,3829.83
430,3941.22,3803.28
431,3912.45,3802.9
432,3909.71,3835.43
433,3908.54,3834.28
434,3871.8,3736.29
435,3859.41,3735.91
436,3838.57,3773.31
437,3825.14,3653.01
438,3812.52,3705.77
439,3818.24,3692.24
440,3831.22,3792.91
441,3794.44,3650.25
442,3780.78,3731.63
443,3783.8,3632.45
444,3798.18,3722.22
445,3812.61,3667.73
446,3827.1,3689.32
447,3857.72,3695.7
448,3860.03,3767.39
449,3866.59,3808.59
450,3888.24,3701.6
451,3882.02,3816.03
452,3853.68,3695.68
453,3841.35,3779.89
454,3822.91,3734.98
455,3845.85,3661.25
456,3862.77,3808.69
457,3868.95,3818.65
458,3871.66,3705.18
459,3875.92,3802.28
460,3840.26,3736.57
461,3843.72,3763.0
462,3834.11,3776.6
463,3841.78,3784.15
464,3851.77,3724.66
465,3856.78,3791.21
466,3858.71,3785.39
467,3823.6,3712.72
468,3849.22,3729.89
469,3843.83,3763.11
470,3876.89,3799.35
471,3891.62,3802.11
472,3872.55,3698.29
473,3905.47,3854.7
474,3937.1,3881.98
475,3911.12,3825.08
476,3899.0,3762.53
477,3915.77,3833.54
478,3920.86,3865.97
479,3913.41,3823.4
480,3941.98,3756.71
481,3949.08,3870.1
482,3941.97,3807.94
483,3936.45,3841.98
484,3924.64,3869.7
485,3929.35,3835.05
486,3960.0,3900.6
487,3990.89,3799.33
488,3978.12,3807.06
489,3948.28,3841.68
490,3912.75,3756.24
491,3896.71,3799.29
492,3915.02,3777.99
493,3942.43,3843.87
494,3967.27,3872.06
495,3991.87,3896.07
496,3977.9,3938.12
497,4010.12,3957.99
498,3978.44,3811.35
499,4017.43,3961.19
500,4056.8,3935.1
501,4092.5,4051.57
502,4079.81,3883.98
503,4101.84,3986.99
504,4061.64,3943.85
505,4021.84,3873.03
506,4025.06,3884.18
507,4015.0,3850.39
508,4050.33,3940.97
509,4066.53,4025.86
510,4040.91,3984.34
511,4025.15,3956.72
512,4024.34,3959.95
513,4021.52,3836.53
514,3994.17,3938.25
515,4015.74,3939.44
516,3982.81,3907.14
517,3977.23,3881.78
518,3982.4,3843.02
519,3959.3,3828.64
520,3971.18,3840.13
521,4010.49,3926.27
522,4014.5,3906.11
523,3986.4,3803.03
524,3969.26,3814.46
525,3988.31,3912.53
526,3982.73,3867.23
527,3943.7,3880.6
528,3922.01,3800.43
529,3939.66,3888.44
530,3955.02,3788.91
531,3970.44,3847.36
532,3980.37,3809.21
533,3993.9,3945.97
534,3970.34,3910.78
535,3957.63,3918.05
536,3958.42,3784.25
537,3969.9,3791.25
538,4008.01,3923.84
539,4040.07,3955.23
540,4029.97,3981.61
541,4008.61,3888.35
542,4004.2,3892.08
543,4029.03,3944.42
544,4038.7,3925.62
545,4072.22,4015.21
546,4067.74,3917.23
547,4055.13,3986.19
548,4046.21,3932.92
549,4070.08,3956.12
550,4075.78,3937.2
551,4053.77,4005.12
552,4069.17,4020.34
553,4050.86,3864.52
554,4059.37,3901.05
555,4084.13,3892.18
556,4122.52,4077.17
557,4150.97,4001.54
558,4116.52,4063.01
559,4097.17,3966.06
560,4087.34,3944.28
561,4055.46,3877.02
562,4029.1,3984.78
563,4056.9,4012.27
564,4079.62,3973.55
565,4052.29,3857.78
566,4021.9,3969.62
567,4059.71,3897.32
568,4068.64,3950.65
569,4101.19,3900.23
570,4069.61,3992.29
571,4029.73,3908.84
572,4003.13,3871.03
573,4037.56,3867.98
574,4034.33,3872.96
575,4019.81,3943.43
576,4025.04,3936.49
577,4031.08,3974.64
578,4048.01,3849.66
579,4037.89,3900.6
580,4064.94,4003.97
581,4049.09,3874.98
582,4085.53,3889.42
583,4087.16,4025.85
584,4098.6,4028.92
585,4063.76,3945.91
586,4041.41,3916.13
587,4028.88,3863.7
588,4001.48,3941.46
589,4009.88,3829.44
590,4014.29,3861.75
591,4025.93,3832.69
592,4052.1,3999.42
593,4089.78,3922.1
594,4075.06,3981.33
595,4053.05,3976.04
596,4036.84,3859.22
597,4065.5,4008.58
598,4096.8,4018.96
599,4086.97,3968.45
600,4064.49,3873.46
601,4089.69,3913.83
602,4061.47,3903.07
603,4093.96,3942.48
604,4078.4,3968.28
605,4111.03,4065.81
606,4097.46,4048.29
607,4070.83,3920.21
608,4057.4,3903.22
609,4019.26,3834.37
610,4050.21,3948.95
611,4075.73,3965.69
612,4098.96,4021.08
613,4068.22,3966.51
614,4069.03,3987.65
615,4093.44,3909.24
616,4101.63,3953.97
617,4072.92,3918.15
618,4063.55,3982.28
619,4040.39,3931.3
620,4078.77,3980.88
621,4104.06,4058.92
622,4074.1,3935.58
623,4114.03,4019.41
624,4153.52,4091.22
625,4139.4,3953.13
626,4129.47,3972.55
627,4149.7,3967.11
628,4142.23,4013.82
629,4145.13,4000.05
630,4168.76,4031.19
631,4200.86,4070.63
632,4175.23,3978.99
633,4166.46,3978.97
634,4126.05,3965.13
635,4105.01,4043.43
636,4128.41,4016.94
637,4100.34,3919.93
638,4102.8,3959.2
639,4112.24,4038.22
640,4085.51,3987.46
641,4111.66,3926.64
642,4107.14,3959.28
643,4077.16,3979.31
644,4082.46,3902.83
645,4098.38,4024.61
646,4080.76,3921.61
647,4067.7,3925.33
648,4095.36,4046.22
649,4074.06,3911.1
650,4087.5,3907.65
651,4067.88,4015.0
652,4076.83,3909.68
653,4062.56,3997.56
654,4038.59,3957.82
655,4068.48,3930.15
656,4096.96,4015.02
657,4096.96,4002.73
658,4097.78,3999.43
659,4091.63,3997.52
660,4057.67,3911.59
661,4047.12,3869.05
662,4079.5,4034.63
663,4050.13,3993.43
664,4047.7,3974.84
665,4036.77,3838.97
666,4024.26,3935.73
667,4010.18,3881.85
668,4020.21,3975.99
669,4004.13,3912.04
670,3974.9,3911.3
671,3986.43,3822.99
672,3992.41,3836.71
673,4013.97,3881.51
674,3989.48,3794.0
675,3954.77,3836.13
676,3957.93,3811.49
677,3992.76,3872.98
678,3979.98,3808.84
679,4001.47,3897.43
680,4023.48,3963.13
681,4050.84,3905.01
682,4037.88,3993.46
683,4070.99,3981.43
684,4080.35,3957.94
685,4085.25,3942.27
686,4088.93,3933.55
687,4066.44,3879.38
688,4065.22,3943.26
689,4071.72,3949.57
690,4108.77,3989.62
691,4149.04,3945.74
692,4112.94,3927.86
693,4094.84,4045.7
694,4092.38,3904.13
695,4070.28,3870.84
696,4040.57,3979.96
697,4064.01,3893.32
698,4099.77,4038.27
699,4097.31,4044.04
700,4099.36,3935.39
701,4083.78,3883.67
702,4109.51,4019.1
703,4082.8,4029.72
704,4101.17,4023.25
705,4134.8,4056.24
706,4120.33,4075.01
707,4159.06,4013.49
708,4139.1,4014.93
709,4099.78,3919.39
710,4075.18,3993.68
711,4038.91,3941.98
712,4068.8,3897.91
713,4048.46,4003.93
714,4054.13,3867.64
715,4014.4,3821.71
716,3981.08,3801.93
717,3945.65,3874.63
718,3942.89,3864.03
719,3957.87,3910.38
720,3975.68,3812.68
721,3999.53,3847.55
722,4017.93,3881.32
723,4037.22,3980.7
724,3998.06,3862.13
725,3998.86,3918.88
726,3998.86,3942.88
727,4004.06,3903.96
728,4018.47,3837.64
729,4039.77,3845.86
730,4030.07,3929.32
731,4000.25,3824.24
732,4020.65,3875.91
733,4052.82,3935.29
734,4077.14,3893.67
735,4075.51,4006.23
736,4106.08,4040.38
737,4120.04,4037.64
738,4109.33,3907.97
739,4129.88,4055.54
740,4095.19,4041.95
741,4113.21,3919.89
742,4119.79,3979.72
743,4107.43,3951.35
744,4139.88,4052.94
745,4157.68,4049.58
746,4171.82,4017.46
747,4146.79,3947.74
748,4130.62,4064.53
749,4135.58,4003.24
750,4158.33,4058.53
751,4198.25,4047.11
752,4217.56,4044.64
753,4247.93,4141.73
754,4230.51,4044.37
755,4256.74,4112.01
756,4259.72,4183.05
757,4263.55,4182.54
758,4292.54,4236.74
759,4275.37,4155.66
760,4304.01,4144.76
761,4318.64,4119.98
762,4329.0,4125.54
763,4293.94,4105.01
764,4286.21,4119.05
765,4268.21,4216.99
766,4273.76,4192.56
767,4251.11,4166.09
768,4211.57,4034.68
769,4196.41,4154.45
770,4211.94,4018.19
771,4248.58,4074.39
772,4249.85,4067.11
773,4281.3,4127.17
774,4247.48,4196.51
775,4252.58,4082.48
776,4249.18,4155.7
777,4257.25,4172.1
778,4289.61,4135.18
779,4295.19,4204.99
780,4329.98,4213.07
781,4288.41,4125.45
782,4257.1,4214.53
783,4283.49,4167.84
784,4300.2,4192.69
785,4264.51,4059.81
786,4250.01,4063.01
787,4217.71,4162.88
788,4183.12,4003.25
789,4216.58,4102.73
790,4179.05,4128.9
791,4181.14,4122.6
792,4158.98,3963.51
793,4118.22,3932.9
794,4109.16,4043.41
795,4148.2,4003.01
796,4124.14,4025.16
797,4099.4,3914.93
798,4123.18,3995.36
799,4138.85,3973.3
800,4099.94,4034.34
801,4099.53,4029.84
802,4071.24,3871.75
803,4048.44,3935.08
804,4034.27,3945.52
805,4014.91,3862.34
806,4035.79,3991.4
807,4006.73,3910.57
808,4020.35,3960.04
809,4038.44,3929.4
810,4061.06,3922.98
811,4041.57,3940.53
812,4054.91,3933.26
813,4052.88,3898.87
814,4063.82,4019.12
815,4035.78,3838.03
816,3996.63,3928.69
817,3973.85,3806.95
818,4012.4,3835.85
819,4021.23,3868.42
820,4048.17,3922.68
821,4025.5,3880.58
822,4023.89,3943.41
823,4037.57,3964.89
824,4042.82,3873.02
825,4054.54,3965.34
826,4077.65,4012.41
827,4062.15,3919.97
828,4064.59,4007.69
829,4074.35,3915.45
830,4100.83,4027.02
831,4067.61,4010.66
832,4083.47,3907.88
833,4103.48,4025.51
834,4137.54,4083.75
835,4120.58,4050.53
836,4135.0,4023.36
837,4169.73,3969.58
838,4200.59,4007.36
839,4220.33,4034.64
840,4251.98,4064.89
841,4288.12,4142.32
842,4260.68,4218.07
843,4272.61,4110.25
844,4282.44,4231.05
845,4294.0,4096.48
846,4325.78,4243.59
847,4322.32,4119.17
848,4354.74,4245.87
849,4376.08,4196.66
850,4385.27,4231.79
851,4389.66,4293.09
852,4405.9,4322.19
853,4420.44,4314.35
854,4401.43,4260.58
855,4413.31,4364.76
856,4433.17,4340.07
857,4469.52,4335.43
858,4512.87,4382.0
859,4518.29,4464.07
860,4514.22,4342.68
861,4477.65,4262.72
862,4463.32,4244.62
863,4476.26,4355.4
864,4452.09,4327.43
865,4443.19,4296.56
866,4458.74,4333.9
867,4492.18,4303.51
868,4531.71,4382.16
869,4569.78,4345.86
870,4549.67,4499.62
871,4536.48,4341.41
872,4525.14,4362.23
873,4546.86,4342.25
874,4515.03,4334.43
875,4504.65,4387.53
876,4519.52,4442.69
877,4493.76,4376.92
878,4520.72,4443.87
879,4524.34,4451.95
880,4540.63,4422.57
881,4543.35,4334.36
882,4518.36,4432.51
883,4531.46,4481.61
884,4534.18,4325.61
885,4527.83,4387.47
886,4572.66,4467.49
887,4590.95,4416.49
888,4547.8,4461.39
889,4582.36,4527.37
890,4624.98,4439.98
891,4599.54,4553.54
892,4605.06,4411.65
893,4612.43,4427.93
894,4599.05,4392.09
895,4612.85,4534.43
896,4611.47,4482.35
897,4643.75,4523.01
898,4614.03,4406.4
899,4650.94,4581.18
900,4686.75,4593.02
901,4729.4,4601.71
902,4701.5,4588.66
903,4718.43,4501.38
904,4696.73,4602.8
905,4717.4,4580.6
906,4757.5,4590.99
907,4728.0,4496.33
908,4762.99,4639.15
909,4746.8,4656.61
910,4701.71,4499.54
911,4691.84,4569.85
912,4718.58,4506.24
913,4757.74,4529.37
914,4779.15,4573.65
915,4767.2,4533.61
916,4751.94,4599.88
917,4797.56,4572.07
918,4837.38,4653.56
919,4840.28,4787.04
920,4875.61,4695.21
921,4911.2,4808.06
922,4940.67,4871.5
923,4943.14,4819.56
924,4950.06,4791.66
925,4935.21,4851.31
926,4939.65,4751.94
927,4981.64,4911.9
928,4934.31,4761.61
929,4965.4,4816.44
930,4966.89,4788.08
931,4949.01,4874.77
932,4969.8,4751.13
933,4929.05,4840.33
934,4940.39,4752.66
935,4957.19,4768.82
936,4983.96,4849.39
937,5010.37,4895.13
938,4962.27,4788.59
939,4997.01,4877.08
940,4988.52,4903.72
941,4947.12,4764.08
942,4964.93,4905.35
943,5008.12,4943.01
944,4986.59,4792.11
945,5017.01,4831.38
946,5056.64,4829.09
947,5038.94,4832.34
948,5084.29,4840.24
949,5054.29,4932.99
950,5023.46,4792.38
951,5003.37,4878.29
952,4964.84,4815.89
953,4978.74,4889.12
954,4930.45,4856.49
955,4901.85,4823.42
956,4890.58,4699.85
957,4868.57,4751.72
958,4889.02,4673.9
959,4865.06,4772.62
960,4910.31,4792.46
961,4863.66,4742.07
962,4843.23,4722.15
963,4877.62,4736.17
964,4843.48,4795.05
965,4889.01,4810.79
966,4848.43,4639.95
967,4859.58,4631.18
968,4827.02,4716.0
969,4860.81,4695.54
970,4880.25,4714.32
971,4849.5,4670.07
972,4829.62,4747.52
973,4804.51,4703.62
974,4815.56,4738.51
975,4773.18,4548.84
976,4786.07,4561.12
977,4764.53,4531.07
978,4750.71,4593.94
979,4754.99,4631.36
980,4745.96,4632.06
981,4783.45,4616.03
982,4789.67,4612.45
983,4765.24,4584.16
984,4808.13,4711.97
985,4797.55,4735.18
986,4770.68,4589.39
987,4779.27,4721.92
988,4791.7,4585.66
989,4744.74,4583.42
990,4700.61,4568.99
991,4718.0,4647.23
992,4747.25,4585.84
993,4778.11,4625.21
994,4783.84,4621.19
995,4803.93,4717.46
996,4813.54,4635.44
997,4839.05,4703.56
998,4885.02,4674.96
999,4902.12,4696.23
1000,4921.73,4749.47
1001,4875.47,4777.96
1002,4870.59,4685.51
1003,4898.84,4835.16
1004,4885.12,4836.27
1005,4883.65,4712.72
1006,4910.51,4669.9
1007,4886.94,4769.65
1008,4913.33,4859.28
1009,4921.68,4754.34
1010,4903.47,4687.72
1011,4903.96,4761.75
1012,4889.25,4718.13
1013,4891.21,4798.28
1014,4887.3,4647.82
1015,4891.21,4798.28
1016,4870.67,4651.49
1017,4882.85,4643.59
1018,4877.97,4804.8
1019,4839.43,4781.36
1020,4856.85,4793.71
1021,4844.22,4621.39
1022,4821.94,4706.21
1023,4788.67,4577.97
1024,4811.18,4604.3
1025,4772.21,4686.31
1026,4745.01,4697.56
1027,4748.33,4615.38
1028,4778.72,4616.24
1029,4818.86,4756.21
1030,4801.99,4667.53
1031,4842.33,4629.27
1032,4876.71,4784.05
1033,4851.35,4681.55
1034,4807.69,4576.92
1035,4827.4,4653.61
1036,4826.92,4773.82
1037,4830.3,4612.94
1038,4786.83,4643.23
1039,4744.23,4677.81
1040,4780.29,4727.71
1041,4774.08,4583.12
1042,4765.96,4646.81
1043,4797.42,4744.65
1044,4818.53,4698.07
1045,4832.5,4663.36
1046,4868.26,4649.19
1047,4846.84,4711.13
1048,4851.2,4613.49
1049,4823.55,4630.61
1050,4828.86,4708.14
1051,4805.2,4651.43
1052,4779.25,4664.55
1053,4756.79,4533.22
1054,4793.89,4707.6
1055,4784.3,4674.26
1056,4827.84,4740.94
1057,4863.08,4780.41
1058,4872.81,4643.79
1059,4848.45,4678.75
1060,4887.72,4794.85
1061,4865.24,4641.44
1062,4832.16,4716.19
1063,4852.46,4677.77
1064,4827.71,4591.15
1065,4813.23,4692.9
1066,4828.63,4596.86
1067,4826.22,4729.7
1068,4842.15,4779.2
1069,4862.0,4711.28
1070,4860.06,4699.68
1071,4901.86,4818.53
1072,4867.55,4697.19
1073,4867.55,4667.98
1074,4877.29,4711.46
1075,4877.78,4682.67
1076,4883.15,4761.07
1077,4915.87,4822.47
1078,4877.03,4794.12
1079,4841.92,4662.77
1080,4811.42,4657.45
1081,4847.99,4702.55
1082,4821.33,4628.48
1083,4798.19,4683.03
1084,4770.36,4622.48
1085,4727.43,4609.24
1086,4681.57,4597.3
1087,4677.36,4565.1
1088,4639.94,4486.82
1089,4680.31,4553.94
1090,4723.84,4525.44
1091,4688.41,4547.76
1092,4668.72,4603.36
1093,4675.72,4498.04
1094,4719.67,4545.04
1095,4678.61,4468.07
1096,4706.21,4499.14
1097,4713.27,4623.72
1098,4693.0,4636.68
1099,4710.36,4663.26
1100,4687.75,4579.93
1101,4654.94,4557.19
1102,4649.35,4495.92
1103,4680.04,4539.64
1104,4659.92,4543.42
1105,4684.15,4468.68
1106,4694.92,4464.87
1107,4660.65,4455.58
1108,4624.3,4443.95
1109,4597.94,4418.62
1110,4635.18,4514.67
1111,4675.51,4563.3
1112,4646.05,4520.61
1113,4664.17,4584.88
1114,4657.64,4429.42
1115,4688.38,4463.34
1116,4692.6,4612.83
1117,4673.83,4627.09
1118,4673.83,4533.62
1119,4635.97,4515.43
1120,4590.54,4365.6
1121,4551.06,4359.92
1122,4573.82,4436.61
1123,4529.45,4393.57
1124,4542.13,4414.95
1125,4560.3,4487.34
1126,4602.25,4376.74
1127,4557.15,4411.32
1128,4584.95,4364.87
1129,4619.34,4480.76
1130,4628.58,4540.64
1131,4651.72,4521.47
1132,4677.3,4569.72
1133,4656.72,4442.51
1134,4633.9,4531.95
1135,4664.48,4449.91
1136,4695.73,4644.08
1137,4666.15,4470.17
1138,4626.95,4492.77
1139,4583.92,4496.83
1140,4627.01,4497.45
1141,4638.58,4415.93
1142,4645.54,4547.98
1143,4659.01,4519.24
1144,4693.49,4491.67
1145,4711.79,4495.05
1146,4675.98,4545.05
1147,4668.97,4547.58
1148,4649.36,4491.28
1149,4625.65,4468.38
1150,4583.56,4468.97
